Id|업태|종목|자금종류
84|도소매업|건축자재 판매|재고자금
85|도소매업|건축자재 판매|야적장자금
86|도소매업|의약품 도매|운전자금
87|도소매업|의약품 도매|재고자금
88|도소매업|의약품 도매|물류자금
89|건설업|주택 건설|시설자금
90|건설업|주택 건설|운전자금
91|건설업|주택 건설|프로젝트자금
92|건설업|상가 건설|시설자금
93|건설업|상가 건설|프로젝트자금
94|건설업|상가 건설|운전자금
95|건설업|토목 공사|운전자금
96|건설업|토목 공사|장비구입자금
97|건설업|토목 공사|프로젝트자금
98|건설업|전기 공사|운전자금
99|건설업|전기 공사|장비구입자금
100|건설업|설비 공사|운전자금
101|건설업|설비 공사|시설자금
102|건설업|설비 공사|장비구입자금
103|건설업|인테리어|운전자금
104|건설업|인테리어|장비구입자금
105|건설업|조경 공사|운전자금
106|건설업|조경 공사|장비구입자금
107|건설업|조경 공사|시설자금
108|건설업|방수 공사|운전자금
109|건설업|방수 공사|장비구입자금
110|건설업|도장 공사|운전자금
111|건설업|도장 공사|장비구입자금
112|건설업|도장 공사|환경설비자금
113|건설업|철거 공사|운전자금
114|건설업|철거 공사|장비구입자금
115|건설업|철거 공사|안전설비자금
116|IT업|소프트웨어 개발|R&D자금
117|IT업|소프트웨어 개발|운전자금
118|IT업|소프트웨어 개발|인력채용자금
119|IT업|모바일 앱 개발|R&D자금
120|IT업|모바일 앱 개발|운전자금
121|IT업|모바일 앱 개발|마케팅자금
122|IT업|웹 서비스|운전자금
123|IT업|웹 서비스|서버구축자금
124|IT업|웹 서비스|마케팅자금
125|IT업|게임 개발|R&D자금
126|IT업|게임 개발|운전자금
127|IT업|게임 개발|마케팅자금
128|IT업|인공지능 개발|R&D자금
129|IT업|인공지능 개발|운전자금
130|IT업|인공지능 개발|인프라구축자금
131|IT업|보안 솔루션|R&D자금
132|IT업|보안 솔루션|운전자금
133|IT업|보안 솔루션|인증자금
134|IT업|빅데이터 분석|운전자금
135|IT업|빅데이터 분석|인프라구축자금
136|IT업|빅데이터 분석|R&D자금
137|IT업|클라우드 서비스|운전자금
138|IT업|클라우드 서비스|인프라구축자금
139|IT업|클라우드 서비스|서버자금
140|IT업|IT 컨설팅|운전자금
141|IT업|IT 컨설팅|인력채용자금
142|IT업|시스템 통합|운전자금
143|IT업|시스템 통합|프로젝트자금
144|운수업|택시 운송|운전자금
145|운수업|택시 운송|차량구입자금
146|운수업|화물 운송|운전자금
147|운수업|화물 운송|차량구입자금
148|운수업|화물 운송|물류센터자금
149|운수업|택배 서비스|운전자금
150|운수업|택배 서비스|차량구입자금
151|운수업|택배 서비스|물류센터자금
152|운수업|버스 운송|차량구입자금
153|운수업|버스 운송|운전자금
154|운수업|버스 운송|시설자금
155|운수업|렌터카|차량구입자금
156|운수업|렌터카|운전자금
157|운수업|렌터카|영업소자금
158|운수업|물류 창고|시설자금
159|운수업|물류 창고|운전자금
160|운수업|물류 창고|물류설비자금
161|운수업|해운업|운전자금
162|운수업|해운업|선박구입자금
163|운수업|해운업|항만시설자금
164|운수업|항공 화물|운전자금
165|운수업|항공 화물|물류설비자금
166|운수업|철도 화물|운전자금
167|운수업|철도 화물|시설자금
168|운수업|배달대행|운전자금
169|운수업|배달대행|차량구입자금
170|운수업|배달대행|시스템구축자금
171|농림어업|채소 재배|시설자금
172|농림어업|채소 재배|운전자금
173|농림어업|채소 재배|온실자금
174|농림어업|과수 재배|시설자금
175|농림어업|과수 재배|운전자금
176|농림어업|과수 재배|농기계자금
177|농림어업|축산업|시설자금
178|농림어업|축산업|운전자금
179|농림어업|축산업|축사자금
180|농림어업|양계업|시설자금
181|농림어업|양계업|운전자금
182|농림어업|양계업|계사자금
183|농림어업|양돈업|시설자금
184|농림어업|양돈업|운전자금
185|농림어업|양돈업|돈사자금
186|농림어업|낙농업|시설자금
187|농림어업|낙농업|운전자금
188|농림어업|낙농업|착유시설자금
189|농림어업|수산업|운전자금
190|농림어업|수산업|어선구입자금
191|농림어업|수산업|양식시설자금
192|농림어업|양식업|시설자금
193|농림어업|양식업|운전자금
194|농림어업|양식업|양식장자금
195|농림어업|임업|운전자금
196|농림어업|임업|장비구입자금
197|농림어업|버섯 재배|시설자금
198|농림어업|버섯 재배|운전자금
199|농림어업|버섯 재배|재배시설자금
200|숙박음식업|호텔|시설자금
201|숙박음식업|호텔|운전자금
202|숙박음식업|호텔|리모델링자금
203|숙박음식업|모텔|시설자금
204|숙박음식업|모텔|운전자금
205|숙박음식업|펜션|시설자금
206|숙박음식업|펜션|운전자금
207|숙박음식업|펜션|리모델링자금
208|숙박음식업|게스트하우스|창업자금
209|숙박음식업|게스트하우스|운전자금
210|숙박음식업|게스트하우스|시설자금
211|숙박음식업|한식당|창업자금
212|숙박음식업|한식당|운전자금
213|숙박음식업|한식당|시설자금
214|숙박음식업|중식당|창업자금
215|숙박음식업|중식당|운전자금
216|숙박음식업|중식당|시설자금
217|숙박음식업|일식당|창업자금
218|숙박음식업|일식당|운전자금
219|숙박음식업|일식당|시설자금
220|숙박음식업|양식당|창업자금
221|숙박음식업|양식당|운전자금
222|숙박음식업|양식당|시설자금
223|숙박음식업|분식점|창업자금
224|숙박음식업|분식점|운전자금
225|숙박음식업|베이커리|창업자금
226|숙박음식업|베이커리|운전자금
227|숙박음식업|베이커리|제빵설비자금
228|교육서비스업|어린이집|창업자금
229|교육서비스업|어린이집|운전자금
230|교육서비스업|어린이집|시설자금
231|교육서비스업|유치원|시설자금
232|교육서비스업|유치원|운전자금
233|교육서비스업|유치원|교구구입자금
234|교육서비스업|영어학원|창업자금
235|교육서비스업|영어학원|운전자금
236|교육서비스업|영어학원|시설자금
237|교육서비스업|수학학원|창업자금
238|교육서비스업|수학학원|운전자금
239|교육서비스업|음악학원|창업자금
240|교육서비스업|음악학원|운전자금
241|교육서비스업|음악학원|악기구입자금
242|교육서비스업|미술학원|창업자금
243|교육서비스업|미술학원|운전자금
244|교육서비스업|미술학원|시설자금
245|교육서비스업|태권도장|창업자금
246|교육서비스업|태권도장|운전자금
247|교육서비스업|태권도장|시설자금
248|교육서비스업|온라인 교육|운전자금
249|교육서비스업|온라인 교육|시스템구축자금
250|교육서비스업|온라인 교육|콘텐츠제작자금
251|교육서비스업|직업훈련원|시설자금
252|교육서비스업|직업훈련원|운전자금
253|교육서비스업|직업훈련원|장비구입자금
254|교육서비스업|독서실|창업자금
255|교육서비스업|독서실|시설자금
256|교육서비스업|독서실|운전자금
257|부동산업|부동산 중개|창업자금
258|부동산업|부동산 중개|운전자금
259|부동산업|부동산 개발|프로젝트자금
260|부동산업|부동산 개발|운전자금
261|부동산업|부동산 개발|토지매입자금
262|부동산업|부동산 임대|시설자금
263|부동산업|부동산 임대|건물매입자금
264|부동산업|부동산 임대|운전자금
265|부동산업|부동산 관리|운전자금
266|부동산업|부동산 관리|시설자금
267|부동산업|부동산 컨설팅|창업자금
268|부동산업|부동산 컨설팅|운전자금
269|전문서비스업|법무법인|창업자금
270|전문서비스업|법무법인|운전자금
271|전문서비스업|회계법인|창업자금
272|전문서비스업|회계법인|운전자금
273|전문서비스업|회계법인|시스템구축자금
274|전문서비스업|세무법인|창업자금
275|전문서비스업|세무법인|운전자금
276|전문서비스업|특허법인|창업자금
277|전문서비스업|특허법인|운전자금
278|전문서비스업|특허법인|시스템구축자금
279|전문서비스업|건축설계|운전자금
280|전문서비스업|건축설계|시스템구축자금
